operon,number,start,end,gene,strand,direction,strain,CDS_identifier,hamburger_CDS_identifier
AJ320483_i3,1,1,1056,TssA,reverse,-1,AJ320483_i3,MJJKIOHA_00001,AJ320483_i3_1
AJ320483_i3,2,1067,1909,TssG,reverse,-1,AJ320483_i3,MJJKIOHA_00002,AJ320483_i3_2
AJ320483_i3,3,1906,2064,Non-model,reverse,-1,AJ320483_i3,MJJKIOHA_00003,AJ320483_i3_3
AJ320483_i3,4,2061,3944,TssF,reverse,-1,AJ320483_i3,MJJKIOHA_00004,AJ320483_i3_4
AJ320483_i3,5,3960,4454,TssE,reverse,-1,AJ320483_i3,MJJKIOHA_00005,AJ320483_i3_5
AJ320483_i3,6,4451,5275,Non-model,reverse,-1,AJ320483_i3,MJJKIOHA_00006,AJ320483_i3_6
AJ320483_i3,7,5262,6164,Non-model,reverse,-1,AJ320483_i3,MJJKIOHA_00007,AJ320483_i3_7
AJ320483_i3,8,6532,9171,TssH,forward,1,AJ320483_i3,MJJKIOHA_00008,AJ320483_i3_8
AJ320483_i3,9,9271,9813,TssB,forward,1,AJ320483_i3,MJJKIOHA_00009,AJ320483_i3_9
AJ320483_i3,10,9837,11330,TssC,forward,1,AJ320483_i3,MJJKIOHA_00010,AJ320483_i3_10
AJ320483_i3,11,11516,11962,Non-model,forward,1,AJ320483_i3,MJJKIOHA_00011,AJ320483_i3_11
AJ320483_i3,12,12216,12701,TssD,forward,1,AJ320483_i3,MJJKIOHA_00012,AJ320483_i3_12
AJ320483_i3,13,13006,13491,Non-model,forward,1,AJ320483_i3,MJJKIOHA_00013,AJ320483_i3_13
AJ320483_i3,14,13527,13859,Non-model,forward,1,AJ320483_i3,MJJKIOHA_00014,AJ320483_i3_14
AJ320483_i3,15,14002,14487,TssD,forward,1,AJ320483_i3,MJJKIOHA_00015,AJ320483_i3_15
AJ320483_i3,16,14554,15090,TssJ,forward,1,AJ320483_i3,MJJKIOHA_00016,AJ320483_i3_16
AJ320483_i3,17,15094,16437,TssK,forward,1,AJ320483_i3,MJJKIOHA_00017,AJ320483_i3_17
AJ320483_i3,18,16434,17738,TssL,forward,1,AJ320483_i3,MJJKIOHA_00018,AJ320483_i3_18
AJ320483_i3,19,17743,18516,Non-model,forward,1,AJ320483_i3,MJJKIOHA_00019,AJ320483_i3_19
AJ320483_i3,20,18794,19150,Non-model,forward,1,AJ320483_i3,MJJKIOHA_00020,AJ320483_i3_20
AJ320483_i3,21,19184,23053,TssM,forward,1,AJ320483_i3,MJJKIOHA_00021,AJ320483_i3_21
AJ320483_i3,22,23053,23841,Non-model,forward,1,AJ320483_i3,MJJKIOHA_00022,AJ320483_i3_22
AJ320483_i3,23,23868,24254,Non-model,forward,1,AJ320483_i3,MJJKIOHA_00023,AJ320483_i3_23
AJ320483_i3,24,24281,24799,Non-model,forward,1,AJ320483_i3,MJJKIOHA_00024,AJ320483_i3_24
AJ320483_i3,25,25196,27385,TssI,forward,1,AJ320483_i3,MJJKIOHA_00025,AJ320483_i3_25
AY424360_i4b,1,1555,2046,TssD,forward,1,AY424360_i4b,NHJLEJIP_00004,AY424360_i4b_4
AY424360_i4b,2,2146,3366,Non-model,forward,1,AY424360_i4b,NHJLEJIP_00005,AY424360_i4b_5
AY424360_i4b,3,3375,3851,TssE,forward,1,AY424360_i4b,NHJLEJIP_00006,AY424360_i4b_6
AY424360_i4b,4,3855,5696,TssF,forward,1,AY424360_i4b,NHJLEJIP_00007,AY424360_i4b_7
AY424360_i4b,5,5693,6718,TssG,forward,1,AY424360_i4b,NHJLEJIP_00008,AY424360_i4b_8
AY424360_i4b,6,6837,9449,TssH,forward,1,AY424360_i4b,NHJLEJIP_00009,AY424360_i4b_9
AY424360_i4b,7,9449,11434,TssI,forward,1,AY424360_i4b,NHJLEJIP_00010,AY424360_i4b_10
AY424360_i4b,8,11530,11832,Non-model,forward,1,AY424360_i4b,NHJLEJIP_00011,AY424360_i4b_11
AY424360_i4b,9,11846,12913,TssA,forward,1,AY424360_i4b,NHJLEJIP_00012,AY424360_i4b_12
