T6SS_example,subtype
FJ790776_i1,i1
JX436460_i1,i1
NC_002506_i1,i1
NC_002516_i1,i1
NC_002947_2_i1,i1
NC_002947_i1,i1
NC_004547_i1,i1
NC_004578_i1,i1
NC_004603_i1,i1
NC_006349_i1,i1
NC_006351_i1,i1
NC_007650_i1,i1
NC_008095_i1,i1
NC_008463_i1,i1
NC_008570_i1,i1
NC_010554_i1,i1
NC_011274_i1,i1
NC_022000_i1,i1
NZ_AAKJ02000013_i1,i1
KF678349_i2,i2
NC_004431_i2,i2
NC_009832_i2,i2
NC_012731_2_i2,i2
NC_013956_i2,i2
NC_013961_i2,i2
NC_017626_i2,i2
NC_020064_i2,i2
AJ320483_i3,i3
JF766712_i3,i3
NC_002516_i3,i3
NC_002927_i3,i3
NC_003143_i3,i3
NC_004129_i3,i3
NC_008463_i3,i3
NC_008702_i3,i3
NC_008752_i3,i3
NC_009708_i3,i3
NC_009832_i3,i3
NC_010465_i3,i3
NC_011205_i3,i3
NC_013716_i3,i3
NC_013956_i3,i3
NC_013961_i3,i3
NC_014121_i3,i3
NC_016810_i3,i3
NC_016856_i3,i3
NC_020064_i3,i3
NC_020211_2_i3,i3
NC_020211_i3,i3
NC_002516_i4a,i4a
NC_008463_i4a,i4a
NC_013716_i4a,i4a
AY424360_i4b,i4b
KC432605_i4b,i4b
NC_002947_i4b,i4b
NC_003296_i4b,i4b
NC_005966_i4b,i4b
NC_007005_i4b,i4b
NC_007651_i4b,i4b
NC_009085_i4b,i4b
NC_010400_i4b,i4b
NC_011000_i4b,i4b
NC_012779_i4b,i4b
NC_013508_i4b,i4b
NC_017626_i4b,i4b
FJ790777_i5,i5
NC_003063_i5,i5
NC_004605_i5,i5
NC_008378_i5,i5
SM39,i3
GCA_000513215.1_DB11_genomic,i3
